Nombre,Marca,Categoría,Especie,Formato,Precio,Precio anterior,Descripción breve,Descripción larga,Ingredientes,Imagen,Destacado,Nuevo
Pienso Sum Sum Pollo y Ternera,Sum Sum,pienso-perros,perro,14 kg,32.90,,Dog#1 SumSum pollo y ternera para perro adulto todas las razas.,Dog#1 SumSum pollo y ternera para perro adulto todas las razas. Protectores articulares. 70% proteína animal. Alta digestibilidad. Articulaciones y huesos fuertes. Alta palatabilidad. Protección de manto y pelaje. Saco 14kg.,"Pollo deshidratado 26%, ternera deshidratada 17%, arroz integral 17%, aceite de cerdo ibérico, cebada integral, harinas de origen vegetal, hígado de pollo 3%, aceite de oliva 2%, manzana 2%, zanahoria 2%, hinojo 1%, calabaza 1%, orégano, canela, clavo, tomillo, romero, equinácea purpúrea, protectores hepáticos (cardo mariano, boldo, aceite de camelina), miel 0,5%, té verde 0,1%, protectores articulares (condroitina 600mg/kg, colágeno y glucosamina 900mg/kg), levaduras, vitaminas, oligoelementos y conservantes naturales.",https://dapac.es/5556-large_default/DOG_1_Sum_Sum_Adulto_Chicken_and_Beef__pollo_y_ternera__14kg___ARROYO_ARROYO.jpg,,
Pienso Sum Sum Atún y Salmón,Sum Sum,pienso-perros,perro,14 kg,34.90,,Alimento premium completo para perros adultos de todas las razas. Receta de atún y salmón.,Alimento completo premium para perros adultos de todas las razas. La receta es de atún (ingrediente principal) y salmón. Croquetas cocinadas en pequeñas hornadas para mejorar la palatabilidad de sus ingredientes.,"Atún deshidratado 12%, salmón deshidratado 10%, cerdo deshidratado, arroz integral 8%, manteca de cerdo ibérico, arroz, harinas vegetales, cebada integral, hígado de pollo 3%, aceite de pescado 2%, manzana 2%, miel, orégano, canela, clavo, tomillo, romero, té verde, equinácea purpúrea, protectores hepáticos (cardo mariano, boldo y aceite de camelina). Glucosamina 900 mg/kg, condroitina 600 mg/kg).",https://dapac.es/2745-large_default/DOG_1_Sum_Sum_Fish_Power_14kg___ARROYO_ARROYO.jpg,,
Pienso Sum Sum Cerdo Ibérico y Arroz,Sum Sum,pienso-perros,perro,14 kg,34.90,,Alimento completo para perros adultos de todas las razas. Receta de cerdo ibérico y arroz integral.,Alimento completo para perros adultos de todas las razas. Receta de cerdo ibérico y arroz integral. 70% proteína animal. 40% cerdo ibérico y arroz integral 12% (mucho más digestible que el arroz normal). Monoproteico. Alta palatabilidad. Protege articulaciones y huesos (condro protectores). Alta digestibilidad. Boca y dientes más sanos. Refuerza su sistema inmunitario. Formato 14 kg.,"Cerdo ibérico 40%, arroz integral 12%, harinas de origen vegetal, maíz, manteca de cerdo ibérico, hígado de cerdo, cebada integral, manzana. SUPER COMPLEX: miel, orégano, canela, clavo, tomillo, romero, té verde, equinácea purpúrea, digestive support (cardo mariano, boldo y aceite de camelina).",https://dapac.es/3563-large_default/DOG_1_Sum_Sum_Pork_Gourmet__cerdo_iberico__14kg___ARROYO_ARROYO.jpg,,
Pienso Sum Sum Pollo y Cordero Senior Light,Sum Sum,pienso-perros,perro,14 kg,32.90,,Alimento seco light para perros senior o esterilizados con tendencia al sobrepeso.,"• Control de Peso: Receta light con grasa moderada (11%) y fibra saciante.
• Soporte Articular: Enriquecido con glucosamina, condroitina y colágeno.
• Alta Calidad: 65% de proteína animal para mantener la masa muscular.
• Salud Hepática: Incluye protectores naturales como cardo mariano y boldo.","Pollo deshidratado (21%), ternera deshidratada (14%), arroz integral (20%), cebada integral (7%), hígado de pollo, aceite de cerdo ibérico y aceite de oliva.",https://dapac.es/5552-large_default/DOG-1-Sum-Sum-Light-Mature-Chicken-and-Beef-pollo-y-ternera-14kg---ARROYO.jpg,,
Pienso Sum Sum Salmón y Patata Cachorro,Sum Sum,pienso-perros,perro,14 kg,37.90,,Ofrece los mejores ingredientes para adaptarse a las necesidades de los cachorros.,Dog-1 SUM SUM FÓRMULA PARA CACHORROS. Ofrece los mejores ingredientes para adaptarse a las necesidades de los cachorros.Ingredientes naturales.,"Salmón deshidratado 22%, arroz integral entero, aceite de cerdo ibérico, pollo deshidratado, patata 12%, cebada integral, aceite de salmón, algarroba 3%, hidrolizado de hígado, SUPER LIFE COMPLEX 4%: huevo, alga espirulina, espinaca, manzana, orégano, canela ceylán, clavo, tomillo, romero, cúrcuma, comino, equinácea, té verde, protectores hepáticos (cardo mariano, extracto de yucca schidigera, extracto de bolbo y aceite de camelia), miel, protectores articulares (condroitín sulfato, colágeno y glucosamina), levaduras, vitaminas, prebióticos (manano-oligosacáridos (MOS), fructo-oligosacáridos (FOS)) y oligoelementos",https://dapac.es/3761-large_default/DOG_1_SumSum_Puppy_12_kg___ARROYO.jpg,,
Pienso Sum Sum Atún y Salmón SIN Cereal,Sum Sum,pienso-perros,perro,12 kg,42.90,,Pienso SIN CEREAL (Hipoalergénico),"Alimento completo para perros adultos de todas las razas. Receta de salmón y atún SIN CEREALES (libre de soja, maíz y cereales). 75% proteína animal. 51% pescado azul. 15% salmón fresco. Receta hipoalergénica. Alta digestibilidad. Protege articulaciones y huesos (condroitina600 mg/kg, colágeno y glucosamina 900mg/kg) Paladares sensibles. Sabor gourmet. Formato 12 kg.","Pescado azul 51% (salmón deshidratado 21%, salmón fresco 15%, atún deshidratado 15%), patata 15%, grasa animal, aceite de salmón (fuente de ácidos grasos Omega 3 EPA+DHA), remolacha, algarroba, manzana 2%, arándanos, huevo, guisantes, algas, bayas de goji, protectores articulares (condroitina600 mg/kg, colágeno y glucosamina 900mg/kg), levaduras (fuente de MOS), vitaminas, FOS, oligoelementos y conservantes naturales. SUPER LIFE COMPELX 2%: miel, orégano, canela, clavo, tomillo, romero, té verde, equinácea purpúrea, apoyo digestivo (cardo mariano, extracto de yucca schidigera, boldo y aceite de camelina).",https://dapac.es/3685-large_default/DOG_1_Sum_Sum_Grain_Free_salmon_y_tuna_recipe_12_kg___ARROYO_ARROYO.jpg,,
Pienso Fresh Pollo y Arroz (bajo cereal),Fresh,pienso-perros,perro,12 kg,39.90,,Nueva receta sin trigo. Alimento completo indicado para perros adultos de cualquier raza.,"Nueva receta sin trigo. Alimento completo indicado para perros adultos de cualquier raza. Receta basada en 100% proteína animal, 50% total pollo y 20% pollo fresco. Monoproteico e hipoalergénico. Bajo contenido en cereales. Formato 12 kg.

Tamaño de la croqueta: 18 mm. ","Pollo deshidratado, pollo fresco (Después de extrusión) 20%, arroz integral 15%, maíz, salvado de arroz, cebada y aceite de pollo. La receta se completa con guisantes, manzana, remolacha, zanahoria, aceite de oliva (0,3%) y Yucca schidigera para reducir el olor de las heces.",https://dapac.es/3933-large_default/Fresh-mediterranean-blend-adult-complete-12kg.jpg,,
Pienso Fresh Salmón y Patata (bajo cereal),Fresh,pienso-perros,perro,12 kg,44.90,,Alimento completo para perros adultos de todas las razas. Receta de salmón y patata. HIPOALERGÉNICO.,Alimento completo para perros adultos de todas las razas. Receta de salmón y patata. 100% proteína animal. 50% total salmón. 20% salmón fresco. No contiene harina de carne o pescado. Formato de 12 kg. Tamaño de la croqueta: 15 mm. Este producto incluye la pegatina de precio.,"Salmón deshidratado, salmón fresco (Después de la extrusión) 20%, patata 18%, arroz entero 6%, maíz entero, grasa animal, hidrolizado de salmón, guisantes 3%, remolacha 2%, levaduras (fuente de MOS), zanahoria 1%, manzana 1%, aceite de oliva, inulina (fuente de FOS), sustancias minerales y Yucca schidigera.",https://dapac.es/3832-large_default/Fresh-mediterranean-blend-adult-sensitive-12kg.jpg,,
Pienso Fresh Pollo y Arroz Adult Mini,Fresh,pienso-perros,perro,7 kg,25.90,,Fresh Adult Mini Mediterranean Blend. Bajo en cereal y monoproteico para perros de razas pequeñas,"Alimento completo y equilibrado especialmente diseñado para perros adultos de razas pequeñas y mini, incluyendo Yorkshire Terrier, Chihuahua, Maltés, Pomerania, Bichón Frisé, Pinscher Miniatura y Dachshund. Su receta mediterránea combina pollo fresco con ingredientes naturales como manzana, zanahoria y aceite de oliva. Los prebióticos FOS y MOS, junto a la Yucca schidigera, favorecen una flora intestinal sana y reducen el olor de las heces, muy importante en razas que viven en casa. Croqueta de 7mm adaptada para mandíbulas pequeñas.","Pollo deshidratado, Pollo fresco (después de la extrusión) 20%*, Cebada*, Arroz integral 13%*, Maíz*, Salvado de arroz, Grasa de ave (Omega 6), Guisantes 2,5%*, Remolacha 2%*, Hígado de ave hidrolizado 2%, Zanahoria 0,5%*, Manzana 0,5%*, Aceite de pescado, Levaduras (MOS), Aceite de oliva 0,1%, Chicoria (FOS) 1000 mg/kg*, Minerales y Yucca schidigera*.",https://dapac.es/5988-large_default/Fresh-mediterranean-blend-adult-mini-Low-Grain-7Kg.jpg,,
Pienso Fresh Pollo y Arroz Adult Large,Fresh,pienso-perros,perro,14 kg,41.90,,Alimento completo para perros adultos de razas grandes. Receta monoproteica.,"El alimento seco Fresh Mediterranean Blend Adult Large es una dieta completa diseñada específicamente para perros adultos de razas grandes que utilizan el pollo como ingrediente principal. Esta fórmula destaca por su alta calidad nutricional, con un 100% de proteína animal, un 50% de pollo total y un 20% de pollo fresco.","Pollo deshidratado, pollo fresco (Después de extrusión 20%, arroz entero 15%, trigo, maíz, aceite de pollo, cebada, hidrolizado de hígado de pollo, guisantes 3%, remolacha 2%, levaduras (fuente de MOS), zanahoria 1%, manzana 1%, aceite de oliva, achicoria (fuente de FOS), sustancias minerales y Yucca schidigera.",https://dapac.es/3496-large_default/Fresh_mediterranean_blend_adult_large_14kg___CP_CP.jpg,,
Pienso Fresh Cordero y Arroz,Fresh,pienso-perros,perro,12 kg,44.90,,Alimento completo low grain para perros adultos.,"Alimento completo low grain para perros adultos. Cordero como ingrediente principal (fresco 20% + deshidratado) y 80% proteína animal. Con arroz integral y cebada; sin trigo, soja ni azúcares añadidos. Aceite de oliva, Omega 3 (EPA+DHA 400 mg/kg) y Omega 6 para piel y pelo; MOS/FOS + Yucca para digestión suave. ","Cordero deshidratado, cordero fresco (Después de extrusión) 20%, maíz*, arroz integral 12,5%*, cebada*, guisantes 6%*, aceite de pollo fuente de Omega 6, manzana 2,5%*, hidrolizado de hígado de cordero, remolacha 2,1%*, levaduras fuente de MOS 1%, zanahoria 1%, aceite de pescado, aceite de oliva 0,5%* y achicoria fuente de FOS 0,2%*.",https://dapac.es/4930-large_default/Fresh-mediterranean-blend-adult-lamb-12kg.jpg,,
